pg_unit,bucket,old_number,file_line_start,file_line_end,pg_page_marker_start,heading,addressee_line,chars,path
PG001,Pre-Meursius,2,7631,7681,162,Βʹ.-Τῷ Σεβαστῷ Ἰωάννῃ τῷ γυναικαδέλφῳ τοῦ,,2282,02_sources/pg126/letter_extractions/PG001.txt
PG002,Pre-Meursius,3,7682,7727,163,Γʹ.·Τῷ Μαχητάρῃ.,,2012,02_sources/pg126/letter_extractions/PG002.txt
PG003,Pre-Meursius,4,7728,7764,164,Δʹ.-Τῷ πατριάρχῃ.,,1706,02_sources/pg126/letter_extractions/PG003.txt
PG004,Pre-Meursius,,7765,7859,164,Ιν.-Ραίηαγοήα.,,4407,02_sources/pg126/letter_extractions/PG004.txt
PG005,Pre-Meursius,,7860,7898,166,-Τῷ Ῥωμαίῳ.,,1702,02_sources/pg126/letter_extractions/PG005.txt
PG006,Pre-Meursius,6,7899,7920,167,ϛʹ.Τῷ Μερμεντοπούλω,,967,02_sources/pg126/letter_extractions/PG006.txt
PG007,Pre-Meursius,7,7921,7950,168,Ζʹ-Τῳ κυρῷ Μιχαὴλ τῷ Παντεχνῇ.,,1370,02_sources/pg126/letter_extractions/PG007.txt
PG008,Pre-Meursius,8,7951,7972,168,ΗʹΤῶ Σερβλίᾳ κυρῷ Ἰωάννῃ.,,1026,02_sources/pg126/letter_extractions/PG008.txt
PG009,Pre-Meursius,,7973,7973,169,ΙΧ.-ΡακΙλεεηα.,,14,02_sources/pg126/letter_extractions/PG009.txt
PG010,Pre-Meursius,9,7974,7986,169,Θʹ.ῷ Παντεχνῇ.,,561,02_sources/pg126/letter_extractions/PG010.txt
PG011,Pre-Meursius,30,7987,8002,169,ΚΙʹ.Τῷ χαρτοφύλακι κυρῷ Νικηφόρῳ.,,710,02_sources/pg126/letter_extractions/PG011.txt
PG012,Pre-Meursius,11,8003,8054,169,ΙΑʹῷ Κίτρου.,,2403,02_sources/pg126/letter_extractions/PG012.txt
PG013,Pre-Meursius,,8055,8179,170,iΒʹ.--Τῷ καματηρῷ κυρῷ Γρηγορίῳ.,,5787,02_sources/pg126/letter_extractions/PG013.txt
PG014,Pre-Meursius,,8180,8241,172,-Τῷ πατμιάρχῃ.,,2814,02_sources/pg126/letter_extractions/PG014.txt
PG015,Pre-Meursius,14,8242,8293,174,ΙΔʹ.-Τῷ Πακουριανῷ.,,2344,02_sources/pg126/letter_extractions/PG015.txt
PG016,Pre-Meursius,,8294,8314,175,ΧΝ. Ερίεσορο βεηηοιαιε.,,915,02_sources/pg126/letter_extractions/PG016.txt
PG017,Pre-Meursius,,8315,8340,175,ἐΕʹ -Τῶ ἐπισκόπῳ Σεμνῶν,,1167,02_sources/pg126/letter_extractions/PG017.txt
PG018,Pre-Meursius,16,8341,8393,175,Ιϛʹ.-Τῷ ἐπισκόπῳ Βιδίνης.,,2409,02_sources/pg126/letter_extractions/PG018.txt
PG019,Pre-Meursius,17,8394,8555,176,ΙΖʹ.Τῷ Τριαδίτης.,,7477,02_sources/pg126/letter_extractions/PG019.txt
PG020,Pre-Meursius,,8556,8682,179,"Χνiii.-Εἰάεπο αά ενκοααπι ιοεάειε νεμεκίῆ, ΠΑʹ.-Τῷ αὐτῷ ἀπὸ τῆς συνόδου παραιτησαμένῳ",,5857,02_sources/pg126/letter_extractions/PG020.txt
PG021,Pre-Meursius,20,8683,8813,182,ΚʹΤῶ αὐτώ παρὰ τοῦ ἀρχιεπισκόαου,,6124,02_sources/pg126/letter_extractions/PG021.txt
PG022,Pre-Meursius,,8814,8874,184,Κʹ.-Ἐκ τῆς πρὸς Τιβάνιον Ἀρμένιον,,2787,02_sources/pg126/letter_extractions/PG022.txt
PG023,Meursius,1,8875,8928,186,ΕΠΙΣΤΟΛΗ ΠΡΩΤΗ.,,2434,02_sources/pg126/letter_extractions/PG023.txt
PG024,Meursius,2,8929,8983,187,ΕΠΙΣΤ. Βʹ.,Τῷ μαίστορι κυρίῳ Ἰωάννῃ.,2467,02_sources/pg126/letter_extractions/PG024.txt
PG025,Meursius,3,8984,9020,188,ΕΠΙΣΤ. Γʹ.,Τῷ πατριάρχῃ κυρίῳ Νικολάῳ.,1551,02_sources/pg126/letter_extractions/PG025.txt
PG026,Meursius,4,9021,9057,189,ΕΠΙΣΤ. Δʹ.,Τῷ Ταρωνίτῃ προέδρῳ κυρίῳ Γρηγορίω.,1677,02_sources/pg126/letter_extractions/PG026.txt
PG027,Meursius,5,9058,9121,190,ΕΠΙΣΤ. Εʹ.,,2862,02_sources/pg126/letter_extractions/PG027.txt
PG028,Meursius,6,9122,9175,191,ΕΠΙΣΤ. ϛʹ.,Τῷ Καματηρῷ κυρίῳ Γρηγορίῳ.,2471,02_sources/pg126/letter_extractions/PG028.txt
PG029,Meursius,17,9176,9251,192,ΕΠΙΣΤ. Ζι.,"Τῶ Πακουριάνῳ κυρίῳ Γρηγορίῳ, τῷ γαμβρῷ τοῦ",3240,02_sources/pg126/letter_extractions/PG029.txt
PG030,Meursius,9,9252,9291,194,ΕΠΙΣΤ. Θʹ.,"Τῷ διδασκάλῳ κυρίῳ Νικήτᾳ, τῷ Σεῤῥών.",1849,02_sources/pg126/letter_extractions/PG030.txt
PG031,Meursius,10,9292,9337,194,ΕΠΙΣΤ. Ιʹ.,Τῷ Ὁρεομάχῳ.,1992,02_sources/pg126/letter_extractions/PG031.txt
PG032,Meursius,,9338,9365,195,ΕΠΙΣΤ. ἰΑʹ.,Τῷ μηπροπολίτῃ Θεσσαλονίκης κιρίῳ Θεοδούλῳ.,1227,02_sources/pg126/letter_extractions/PG032.txt
PG033,Meursius,12,9366,9446,196,ΕΠΙΣΤ ΙΒʹ,Τῷ Καίσαρι.,3680,02_sources/pg126/letter_extractions/PG033.txt
PG034,Meursius,13,9447,9492,198,ΕΠΙΣΤʹ ΙΓʹ.,Τῷ Σεμνῶν.,2053,02_sources/pg126/letter_extractions/PG034.txt
PG035,Meursius,,9493,9538,198,ΕΠΙΣΤ. ἰΔʹ.,,1977,02_sources/pg126/letter_extractions/PG035.txt
PG036,Meursius,15,9539,9583,199,ΕΠΙΣΤ. ΙΕʹ.,Τῶ Καματηροπούλῳ.,1934,02_sources/pg126/letter_extractions/PG036.txt
PG037,Meursius,,9584,9615,200,Τῷ Ἀγκυραίῳ.,,1328,02_sources/pg126/letter_extractions/PG037.txt
PG038,Meursius,17,9616,9675,201,ΕΠΙΣΤ. ΙΖʹ.,Τῷ Κερκύρας.,2656,02_sources/pg126/letter_extractions/PG038.txt
