"gautier_id","gautier_number","sort_key","status","recipient_as_in_gautier","recipient_normalized","date_or_range","gautier_pages","gautier_lines","pg_columns","old_numbering","primary_witnesses","translation_path","review_status","notes"
"G001","1","001","needs_gautier_metadata","","","","","","","","","04_letters/G001/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G002","2","002","needs_gautier_metadata","","","","","","","","","04_letters/G002/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G003","3","003","needs_gautier_metadata","","","","","","","","","04_letters/G003/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G004","4","004","needs_gautier_metadata","","","","","","","","","04_letters/G004/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G005","5","005","needs_gautier_metadata","","","","","","","","","04_letters/G005/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G006","6","006","needs_gautier_metadata","","","","","","","","","04_letters/G006/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G007","7","007","needs_gautier_metadata","","","","","","","","","04_letters/G007/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G008","8","008","needs_gautier_metadata","","","","","","","","","04_letters/G008/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G009","9","009","needs_gautier_metadata","","","","","","","","","04_letters/G009/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G010","10","010","needs_gautier_metadata","","","","","","","","","04_letters/G010/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G011","11","011","needs_gautier_metadata","","","","","","","","","04_letters/G011/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G012","12","012","needs_gautier_metadata","","","","","","","","","04_letters/G012/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G013","13","013","needs_gautier_metadata","","","","","","","","","04_letters/G013/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G014","14","014","needs_gautier_metadata","","","","","","","","","04_letters/G014/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G015","15","015","needs_gautier_metadata","","","","","","","","","04_letters/G015/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G016","16","016","needs_gautier_metadata","","","","","","","","","04_letters/G016/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G017","17","017","needs_gautier_metadata","","","","","","","","","04_letters/G017/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G018","18","018","needs_gautier_metadata","","","","","","","","","04_letters/G018/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G019","19","019","needs_gautier_metadata","","","","","","","","","04_letters/G019/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G020","20","020","needs_gautier_metadata","","","","","","","","","04_letters/G020/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G021","21","021","needs_gautier_metadata","","","","","","","","","04_letters/G021/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G022","22","022","needs_gautier_metadata","","","","","","","","","04_letters/G022/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G023","23","023","needs_gautier_metadata","","","","","","","","","04_letters/G023/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G024","24","024","needs_gautier_metadata","","","","","","","","","04_letters/G024/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G025","25","025","needs_gautier_metadata","","","","","","","","","04_letters/G025/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G026","26","026","needs_gautier_metadata","","","","","","","","","04_letters/G026/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G027","27","027","needs_gautier_metadata","","","","","","","","","04_letters/G027/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G028","28","028","needs_gautier_metadata","","","","","","","","","04_letters/G028/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G029","29","029","needs_gautier_metadata","","","","","","","","","04_letters/G029/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G030","30","030","needs_gautier_metadata","","","","","","","","","04_letters/G030/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G031","31","031","needs_gautier_metadata","","","","","","","","","04_letters/G031/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G032","32","032","needs_gautier_metadata","","","","","","","","","04_letters/G032/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G033","33","033","needs_gautier_metadata","","","","","","","","","04_letters/G033/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G034","34","034","needs_gautier_metadata","","","","","","","","","04_letters/G034/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G035","35","035","needs_gautier_metadata","","","","","","","","","04_letters/G035/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G036","36","036","needs_gautier_metadata","","","","","","","","","04_letters/G036/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G037","37","037","needs_gautier_metadata","","","","","","","","","04_letters/G037/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G038","38","038","needs_gautier_metadata","","","","","","","","","04_letters/G038/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G039","39","039","needs_gautier_metadata","","","","","","","","","04_letters/G039/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G040","40","040","needs_gautier_metadata","","","","","","","","","04_letters/G040/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G041","41","041","needs_gautier_metadata","","","","","","","","","04_letters/G041/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G042","42","042","needs_gautier_metadata","","","","","","","","","04_letters/G042/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G043","43","043","needs_gautier_metadata","","","","","","","","","04_letters/G043/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G044","44","044","needs_gautier_metadata","","","","","","","","","04_letters/G044/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G045","45","045","needs_gautier_metadata","","","","","","","","","04_letters/G045/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G046","46","046","needs_gautier_metadata","","","","","","","","","04_letters/G046/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G047","47","047","needs_gautier_metadata","","","","","","","","","04_letters/G047/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G048","48","048","needs_gautier_metadata","","","","","","","","","04_letters/G048/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G049","49","049","needs_gautier_metadata","","","","","","","","","04_letters/G049/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G050","50","050","needs_gautier_metadata","","","","","","","","","04_letters/G050/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G051","51","051","needs_gautier_metadata","","","","","","","","","04_letters/G051/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G052","52","052","needs_gautier_metadata","","","","","","","","","04_letters/G052/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G053","53","053","needs_gautier_metadata","","","","","","","","","04_letters/G053/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G054","54","054","needs_gautier_metadata","","","","","","","","","04_letters/G054/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G055","55","055","needs_gautier_metadata","","","","","","","","","04_letters/G055/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G056","56","056","needs_gautier_metadata","","","","","","","","","04_letters/G056/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G057","57","057","needs_gautier_metadata","","","","","","","","","04_letters/G057/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G058","58","058","needs_gautier_metadata","","","","","","","","","04_letters/G058/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G059","59","059","needs_gautier_metadata","","","","","","","","","04_letters/G059/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G060","60","060","needs_gautier_metadata","","","","","","","","","04_letters/G060/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G061","61","061","drafted_from_pg_ocr","?John Komnenos (per Mullett; verify in Gautier)","?John Komnenos; addressed as pansebastos antileptor","[not yet checked]","Mullett cites Gautier II, 353.25-27 for the lake passage; full range to check","[to enter from Gautier 1986]","PG 126 cols. 357-360 (OCR markers $8=186-187)","Meursius I","[to enter from Gautier 1986]","04_letters/G061/translation.md","needs_gautier_collation","Mullett identifies Meursius I as Gautier G61 and elsewhere cites it as to ?John Komnenos. Draft based on PG 126/Calfa OCR; recipient/date/apparatus require Gautier."
"G062","62","062","needs_gautier_metadata","","","","","","","","","04_letters/G062/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
"G063","63","063","needs_gautier_metadata","","","","","","","","","04_letters/G063/translation.md","not_started","Populate metadata from Gautier CFHB 16/2 before drafting."
