gautier_id,gautier_number,gibi_title_bg,gibi_page
G004,4,До деспина госпожа Мария,81
G005,5,До Великия доместик,84
G006,6,(До препозита за мобите),85
G007,7,"До учителя на Великата църква господин Никита, [племеник] на серския епископ",87
G008,8,"От същия до севаст Йоан, шурея на царя",87
G009,9,До кесаря,88
G010,10,До сина на севастократова,90
G011,11,"До господин севаста Йоан, сина на севастократора",90
G012,12,До същия,92
G013,13,До кесаря Мелисин,93
G014,14,До кипърския епископ,94
G015,15,До Диавологир,95
G016,16,До Тарханиот,96
G017,17,"До господин Йоан, шурея на царя",97
G018,18,"До Таронитопул, дука на Скопие",98
G019,19,(До сина на севастократора),100
G020,20,До Тарханиот,100
G021,21,До пелагонийския [епископ],101
G022,22,До сина на севастократора,102
G023,23,До същия,103
G024,24,До същия,104
G025,25,До Мерментопул,105
G026,26,"До севаста, сина на севастократора [Йоан Комнин]",106
G027,27,До Каматиропул,107
G028,28,До Смирненски,108
G029,29,До Мерментул,108
G030,30,До хартофилакса господин Никифор,110
G031,31,До Каматир,111
G032,32,До Анема,112
G033,33,До Мерментул,113
G034,34,До Анема,114
G035,35,До навпактския митрополит Хризоверг,115
G036,36,До пелагонийския епископ,116
G037,37,"До господин Симеон, игумен на манастира в Анаплус",117
G038,38,До господин Григорий Каматир,119
G039,39,До господин Михаил Пантехни,120
G040,40,До господин Никита Полит,122
G041,41,До Анема,122
G042,42,До Теофилакт Ромей,123
G043,43,До същия,124
G044,44,До Махитар,125
G045,45,До патриарха [Николай III Граматик],126
G046,46,До Ромей,129
G047,47,До Мерментопул,130
G048,48,До господин Михаил Пантехни,130
G049,49,До господин Йоан Сервлиа,131
G050,50,До Пантехни,132
G051,51,До хартофилакса господин Никифор,132
G052,52,До кипърския епископ,132
G053,53,До господин Григорий Каматир,133
G054,54,До патриарха [Николай III Граматик],136
G055,55,До Пакуриан,138
G056,56,До семнонския епископ,139
G057,57,До видинския епископ,140
G058,58,До триадишкия епископ,141
G059,59,"До същия от Синода, задето помолил да бъде освободен от заседанията",145
G060,60,До същия от архиепископа,147
G061,61,?,151
G062,62,До господина магистъра Йоан,152
G063,63,?,152
G064,64,До господин патриарха Николай,153
G065,65,"До господин Григорий, племенник на Таронит",154
G066,66,До господин хартофилакса Никифор,155
G067,67,До господин Григорий Каматир,156
G068,68,"До господина Григорий Пакуриан, зетя на Великия друнгарий",158
G069,69,До Офеомах,159
G070,70,"До дидаскала господин Никита, [племенник на] серския епископ",159
G071,71,До Офеомах,160
G072,72,До солунския митрополит господин Теодул,161
G073,73,До кесаря [Никифор Мелисин],162
G074,74,До семнонския епископ,164
G075,75,До епископа на Керкира,165
G076,76,До епископа на Керкира,165
G077,77,До Мерментул,166
G078,78,До епископа на Керкира,167
G079,79,До същия,170
G079,79,До Великия доместик господин Адриан,172
G080,80,До севаста Пакуриан,174
G081,81,До господин Григорий Таронит,175
G082,82,До господин Михаил [племенник] на халкидонския епископ,178
G083,83,До хартофилакса господин Никита,180
G084,84,"До своя ученик Никита, дякон, [племенник] на халкидонския епископ",181
G085,85,"До Великия доместик господин Адриан, брат на царя [Адриан Комнин]",182
G086,86,"До вриениий, свата на царя",185
G087,87,До триадишкия епископ,186
G088,88,"До господин Йоан, писаря на Палеолог",188
G089,89,"До господин Адриан, брат на царя",189
G090,90,До хартофилакса,190
G091,91,До учителя на Великата църква,191
G092,92,До господин Григорий Таронит,191
G093,93,До главния лекар господин Николай Каликъл,193
G094,94,До същия,193
G095,95,"До началника на философите, Смирненски",194
G096,96,"До паниперсеваста Вриений, зетя на царя",194
G097,97,До господин Йоан Перивлептин,199
G098,98,"До господин Адриан, брат на царя",200
G099,99,"До лекаря на царя, Пантехни",203
G100,100,До философа господин Йоан,204
G101,101,До господин Йоан Перивлептин,205
G102,102,"До неговия ученик, лекаря господин Михаил Пантехни",206
G103,103,До поучените от него българи,206
G104,104,"До господин Йоан Аталиат, протонотарий на аталийския дука",207
G105,105,До дирахийския дука Вриений,207
G106,106,?,208
G107,107,"До деспината [Мария Аланска], която го посети, когато беше болен",209
G108,108,"До Макремволит, преспанския управител",209
G109,109,До [препозита] за молбите,210
G110,110,До царския лекар господин Никита,210
G111,111,До господин Николай Каликъл,211
G112,112,До същия,212
G113,113,До кипърския епископ,213
G114,114,До проедъра и проксима Пантехни,214
G115,115,?,214
G116,116,До същия,215
G117,117,До същия,215
G118,118,До господин севаста Константин Дука,215
G119,119,До същия,216
G120,120,До господин агистъра Йоан Пантехни,217
G121,121,До кипърския епископ,218
G122,122,До дебърския епископ,219
G123,123,"До господин Севаста и верийски дука Константин, син на севастократора",219
G124,124,До бившия хартофилакс господин Никифор,220
G125,125,?,220
G126,126,До Палеолог,220
G127,127,До протоасикрита господин Григорий Каматир,221
G128,128,До проедъра Пантехни,226
G129,129,До царския лекар господин Михаил Пантехни,226
G130,130,До същия,226
G131,131,До същия,227
G132,132,До брата на покойния Псел от архиепископа на България,227
G133,133,"Утешително [писмо, написано] от архиепископа на България за различни мъки и болести",227
G134,134,"[Част] от посланието на господин Теофилакт, архиепископа на България до арменеца Тиваний",228
